seed,player,spearman_rho_policy,spearman_rho_realised_lag1
1300,US,-0.1255,-0.0045
1300,OPEC,-0.2572,0.0443
1300,RUS,-0.0657,0.0537
1301,US,-0.4784,-0.3584
1301,OPEC,0.3373,0.2211
1301,RUS,-0.1082,0.0661
1302,US,-0.1027,0.185
1302,OPEC,-0.0236,-0.3998
1302,RUS,0.0386,0.1933
1303,US,0.0429,0.0111
1303,OPEC,-0.1876,0.2196
1303,RUS,0.0162,-0.0468
1304,US,-0.2223,-0.032
1304,OPEC,0.0075,-0.2107
1304,RUS,-0.003,0.3508
1305,US,-0.126,0.0237
1305,OPEC,0.1845,0.1396
1305,RUS,-0.1085,-0.066
1306,US,0.0439,0.0062
1306,OPEC,-0.0845,-0.0613
1306,RUS,-0.1977,0.0864
1307,US,-0.0832,-0.3563
1307,OPEC,-0.3382,0.2249
1307,RUS,-0.2473,-0.0058
1308,US,0.0374,0.034
1308,OPEC,-0.2598,-0.1043
1308,RUS,-0.2689,0.0658
1309,US,-0.1776,-0.3372
1309,OPEC,-0.0111,0.5086
1309,RUS,0.1263,-0.241
