seed,shock_idx,shock_start,shock_end,shock_width,pre_shock_mean_price,in_window_mean_price,in_window_trough_price,in_window_trough_step,mean_drop_dollar,trough_drop_dollar,relative_mean_drop_in_sigmaP,relative_trough_drop_in_sigmaP,recovery_half_life_steps,recovery_half_life_over_shock_width
600,0,12375,16125,3750,77.0593,70.5263,63.2143,12858,6.533,13.845,2.7431,5.8134,32,0.0085
600,1,24750,28500,3750,75.579,71.0397,63.6286,25480,4.5393,11.9504,1.906,5.0179,7,0.0019
601,0,12375,16125,3750,86.6968,69.7792,61.3643,15815,16.9176,25.3325,4.8042,7.1938,38,0.0101
601,1,24750,28500,3750,77.3019,65.5446,56.2607,24928,11.7573,21.0411,3.3388,5.9752,42,0.0112
602,0,12375,16125,3750,70.1556,76.2422,68.1107,14506,-6.0866,2.0449,-2.0443,0.6868,0,0.0
602,1,24750,28500,3750,78.0676,74.4414,62.0393,25318,3.6262,16.0284,1.2179,5.3834,7,0.0019
603,0,12375,16125,3750,79.3139,70.0816,60.775,12758,9.2323,18.5389,2.7545,5.5313,4,0.0011
603,1,24750,28500,3750,81.0859,71.32,61.7929,27141,9.766,19.2931,2.9138,5.7563,45,0.012
604,0,12375,16125,3750,84.0973,70.5362,61.6179,13207,13.5611,22.4794,6.0807,10.0796,11,0.0029
604,1,24750,28500,3750,79.8889,73.8188,56.5571,27829,6.07,23.3317,2.7218,10.4617,8,0.0021
605,0,12375,16125,3750,70.3326,63.0864,50.0036,12786,7.2462,20.329,3.0975,8.6899,81,0.0216
605,1,24750,28500,3750,68.5821,62.8851,50.8393,26256,5.697,17.7428,2.4352,7.5844,11,0.0029
606,0,12375,16125,3750,82.6041,76.5072,67.7571,15242,6.0968,14.8469,1.6465,4.0095,0,0.0
606,1,24750,28500,3750,87.8739,73.2303,62.4714,28003,14.6436,25.4025,3.9546,6.8602,23,0.0061
607,0,12375,16125,3750,77.3602,72.7542,66.0536,15388,4.606,11.3066,2.1949,5.388,15,0.004
607,1,24750,28500,3750,74.1813,72.8433,65.4286,25656,1.338,8.7527,0.6376,4.171,0,0.0
608,0,12375,16125,3750,81.2604,69.9425,62.7429,15282,11.3179,18.5175,5.3975,8.831,25,0.0067
608,1,24750,28500,3750,85.3464,70.0313,60.5607,24992,15.3151,24.7856,7.3038,11.8203,88,0.0235
609,0,12375,16125,3750,73.645,70.5291,63.6179,15061,3.1159,10.0271,1.2265,3.9468,11,0.0029
609,1,24750,28500,3750,73.1351,70.7735,64.4036,27506,2.3616,8.7316,0.9296,3.4369,0,0.0
