t,P,Q,q_US,q_OPEC,q_RUS,profit_US,profit_OPEC,profit_RUS
0,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
1,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
2,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
3,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
4,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
5,64.99999894037487,75.00000105962513,11.250000794718854,44.99999894037486,18.75000132453143,225.0000039735935,2024.9999046337387,562.5000198679702
6,60.0,80.0,15.0,40.0,25.000000000000007,225.0,1600.0,625.0000000000002
7,60.0,80.0,15.0,40.0,25.000000000000007,225.0,1600.0,625.0000000000002
8,60.0,80.0,15.0,40.0,25.000000000000007,225.0,1600.0,625.0000000000002
9,60.0,80.0,15.0,40.0,25.000000000000007,225.0,1600.0,625.0000000000002
10,60.0,80.0,15.0,40.0,25.000000000000007,225.0,1600.0,625.0000000000002
11,60.0,80.0,15.0,40.0,25.000000000000007,225.0,1600.0,625.0000000000002
12,60.0,80.0,15.0,40.0,25.000000000000007,225.0,1600.0,625.0000000000002
13,60.0,80.0,15.0,40.0,25.000000000000007,225.0,1600.0,625.0000000000002
14,60.0,80.0,15.0,40.0,25.000000000000007,225.0,1600.0,625.0000000000002
15,60.0,80.0,15.0,40.0,25.000000000000007,225.0,1600.0,625.0000000000002
16,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
17,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
18,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
19,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
20,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
21,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
22,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
23,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
24,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
25,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
26,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
27,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
28,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
29,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
30,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
31,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
32,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
33,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
34,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
35,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
36,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
37,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
38,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
39,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
40,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
41,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
42,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
43,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
44,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
45,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
46,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
47,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
48,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
49,79.99999576149943,60.00000423850056,11.250000794718854,30.000002119250276,18.75000132453143,393.74998013202514,1799.9999999999907,843.7499801320231
